API,PermitDate,SpudDate,CompletionDate,FirstProductionDate,operatorNameIHS,formation,BasinName,StateName,CountyName,LatWGS84,LonWGS84,BottomHoleLatitude,BottomHoleLongitude,LATERAL_LENGTH_BLEND,PROP_PER_FOOT,WATER_PER_FOOT,Prod1Year,ProdAll,SpudMonth,SpudQuarter,SpudYear,PermitToSpudDays,DrillingDurationDays,CompletionToProductionDays,TotalProppant,TotalWater,ProppantIntensity,LateralDistance,LateralLengthCategory
42105421020000,2014-08-16,2014-08-23,2014-12-22,2014-12-01,APPROACH OPERATING LIMITED LIABILITY CORP,WOLFCAMP,PERMIAN BASIN,TEXAS,CROCKETT,30.931084527,-101.275645985,30.91015,-101.27472,6853.0,1247.498,1382.348,31318,46242,8,3,2014,7,121,-21,8549103.794,9473230.844,0.18203677221654752,0.02095499627615943,medium
42105421500000,2014-10-07,2014-11-23,2015-03-29,2015-03-01,APPROACH OPERATING LIMITED LIABILITY CORP,WOLFCAMP,PERMIAN BASIN,TEXAS,CROCKETT,30.891879706,-101.239248397,30.9101,-101.23926,5946.0,1182.164,1441.936,35829,47727,11,4,2014,47,126,-28,7029147.144,8573751.456,0.19881668348469558,0.01822029769449461,medium
42301318440000,2012-09-13,2012-11-15,2014-01-27,2013-04-01,SHELL WESTERN E & P INCORPORATED LP,BONE SPRING,PERMIAN BASIN,TEXAS,LOVING,31.955839555,-103.740776442,31.94281,-103.74097,3656.0,488.5271,354.6536,28951,37897,11,4,2012,63,438,-301,1786055.0776,1296613.5616,0.13362338621444203,0.013030992602153221,short
42317401950000,2015-05-18,2015-06-23,2015-10-06,2015-10-01,PIONEER NATURAL RESOURCES USA INC,SPRABERRY,PERMIAN BASIN,TEXAS,MARTIN,32.17580213,-102.062500535,32.1969,-102.06904,7290.0,1157.629,1560.677,61365,87498,6,2,2015,36,105,-5,8439115.41,11377335.33,0.15879684499314128,0.022088112663219948,medium
42371392130100,2014-06-27,2014-08-13,2014-12-01,2014-11-01,DIAMONDBACK EXPLORATION & PROD LLC,WOLFCAMP,PERMIAN BASIN,TEXAS,PECOS,31.103318221,-103.107996951,31.10177,-103.13352,7664.0,1785.731,3272.875,84683,159724,8,3,2014,47,110,-30,13685842.384,25083314.0,0.2330024791231733,0.025569963209227636,long
42383381710000,2013-01-09,2013-10-23,2014-03-07,2014-02-01,SABLE PERMIAN RESOURCES LAND LLC,WOLFCAMP,PERMIAN BASIN,TEXAS,REAGAN,31.28760317,-101.589563993,31.25907,-101.58952,9619.0,1659.306,1489.5410000000006,60140,102284,10,4,2013,287,135,-34,15960864.414,14327894.879000006,0.17250296288595487,0.028533203914613434,long
42389339940000,2013-11-04,2014-02-03,2014-07-16,2014-06-01,EOG RESOURCES INCORPORATED,WOLFCAMP,PERMIAN BASIN,TEXAS,REEVES,31.613055478000003,-103.943273271,31.5978,-103.94402,4808.0,1535.017,1263.295,91799,155902,2,1,2014,91,163,-45,7380361.7360000005,6073922.36,0.31926310316139767,0.015273742606448513,medium
42389345710000,2014-10-06,2014-11-30,2015-03-31,2015-03-01,BHP BILLITON PETROLEUM(TXLA OP) COMPANY,WOLFCAMP,PERMIAN BASIN,TEXAS,REEVES,31.767677504,-103.855620739,31.78125,-103.85369,4738.0,1319.835,1201.862,104584,165113,11,4,2014,55,121,-30,6253378.23,5694422.156,0.2785637399746729,0.013709135667725384,medium
42461395750000,2014-09-17,2014-11-07,2015-06-07,2015-06-01,PIONEER NATURAL RESOURCES USA INC,SPRABERRY,PERMIAN BASIN,TEXAS,UPTON,31.268788974,-101.789361687,31.242490000000004,-101.78967,9091.0,983.569,1691.322,65953,95097,11,4,2014,51,212,-6,8941625.779,15375808.302,0.10819150808491915,0.02630078117392017,long
49021210550000,2013-11-13,2014-01-10,2014-05-19,2014-03-01,SAMSON EXPLORATION LLC,CODELL,DENVER BASIN,WYOMING,LARAMIE,41.289530031,-104.662339959,41.27109,-104.66166,6030.0,1106.864,652.499,51621,72608,1,1,2014,58,129,-79,6674389.92,3934568.97,0.18355953565505806,0.018452563169449786,medium
