PermitToSpudDays,DrillingDurationDays,CompletionToProductionDays,LATERAL_LENGTH_BLEND,PROP_PER_FOOT,WATER_PER_FOOT,TotalProppant,TotalWater,ProppantIntensity,LateralDistance,SpudMonth,SpudQuarter,SpudYear,operatorNameIHS,LateralLengthCategory,BasinName,formation
1.8460287738578982,-1.7393701388784257,0.34939934161519753,-2.042263626196907,-0.5087054675517308,-0.5375822527361647,-1.2968729450097192,-1.224673780692223,1.8218749573413364,-1.2281613535426787,12,4,2014,NEWFIELD PRODUCTION COMPANY,short,WILLISTON BASIN,THREE FORKS / BAKKEN
-0.5932973714283323,-0.5647723577671854,0.182522044127342,0.8672124469509508,-0.6535404713319731,-0.46012863626366496,-0.22426235782816709,-0.003611953633295491,-0.8394547457449744,0.5727402265928296,3,1,2014,NINE POINT ENERGY LLC,long,WILLISTON BASIN,BAKKEN
0.5834198183752366,0.046662103633186354,-0.005214915546495486,1.013763834339139,-0.6917732259680226,-0.5511260935154261,-0.22689389065184196,-0.08972933384492528,-0.8735006591101291,0.6342257355156818,11,4,2014,XTO ENERGY INCORPORATED,long,WILLISTON BASIN,THREE FORKS
0.5232955823998717,0.2236562898280308,0.11994305756939617,0.7515517931789001,-0.5446093443023532,-0.7406130369362712,-0.1141169688896702,-0.4705655715182016,-0.7725657555994975,0.4985607749830594,1,1,2015,BURLINGTON RESOURCES O&G CO LP,long,WILLISTON BASIN,THREE FORKS
-0.5417623120208768,-0.4521396938250116,-0.21381153740631492,1.024898866224026,-1.211112765962529,-1.1080822204277625,-1.0177632951775195,-0.9860829002505602,-1.1057314827794866,0.5668473185727461,9,3,2014,HESS BAKKEN INVESTMENTS II LLC,long,WILLISTON BASIN,BAKKEN
0.6864899371901477,0.44892161771237826,0.49541697691707115,0.9491088104914089,-0.7394850664606685,-0.8296286708147137,-0.3219199567655984,-0.5546486958188248,-0.888175113562945,2.5193878801611893,2,1,2015,HESS BAKKEN INVESTMENTS II LLC,long,WILLISTON BASIN,THREE FORKS
-0.5675298417246045,0.25583705095436615,-0.046934239918459374,1.347814790885745,-0.8957220681204265,-0.8379693620755236,-0.44541668110959304,-0.47056279452847954,-0.9893212187698519,0.7899693833051162,11,4,2014,WHITING OIL & GAS CORPORATION,long,WILLISTON BASIN,BAKKEN
0.18831769625141054,-0.7256761633988621,0.49541697691707115,1.4509036344651816,-0.6339200064080827,-0.9801846390617789,0.031191319765455208,-0.702474861042975,-0.8919657727228695,0.8982966576603728,7,3,2015,WHITING OIL & GAS CORPORATION,long,WILLISTON BASIN,THREE FORKS
-0.37856795723060077,-0.21078398537749649,0.3702590038011795,-0.7531142895885538,-0.848392434092595,-0.2897887306460877,-0.9915760000542737,-0.5333532882145785,-0.6414225882550889,-0.39808894257784105,10,4,2014,WHITING OIL & GAS CORPORATION,medium,WILLISTON BASIN,THREE FORKS
-0.00923336481050248,0.48110237883871365,0.20338170631332395,0.9602438423762958,-1.0795112897859018,-1.0116353243417018,-0.8292307368936813,-0.8408935413209487,-1.0433648100227366,0.8000625363176027,2,1,2015,HESS BAKKEN INVESTMENTS II LLC,long,WILLISTON BASIN,THREE FORKS
